symbol,header,signature,export
aio_hcsd_read,lib/astro_image_io/include/aio_healpix_io.h,"AIO_EXPORT int aio_hcsd_read(const char* path, uint32_t* nside, int* nested, uint64_t* n_pix, uint64_t** ipix, float** pixel, char** meta_json);",
aio_hcsd_read_leaf,lib/astro_image_io/include/aio_healpix_io.h,"AIO_EXPORT int aio_hcsd_read_leaf(const char* path, uint64_t leaf_ipix_at_nside64, uint64_t* n_pix, uint64_t** ipix, float** pixel);",
aio_hcsd_write,lib/astro_image_io/include/aio_healpix_io.h,"AIO_EXPORT int aio_hcsd_write(const char* path, uint32_t nside, int nested, uint64_t n_pix, const uint64_t* ipix, const float* pixel, const char* meta_json);",
aio_hio_free,lib/astro_image_io/include/aio_healpix_io.h,AIO_EXPORT void aio_hio_free(void* ptr);,
aio_hio_free_snr_model,lib/astro_image_io/include/aio_healpix_io.h,AIO_EXPORT void aio_hio_free_snr_model(HioSnrModel* model);,
aio_hiss_close_session,lib/astro_image_io/include/aio_healpix_io.h,AIO_EXPORT void aio_hiss_close_session(void* session);,
aio_hiss_inspect,lib/astro_image_io/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_inspect(const char* path, uint32_t* nside, uint32_t* tile_nside, uint32_t* depth, uint32_t* n_leaf_per_tile, uint64_t* n_tiles, uint64_t* n_pix_total, char** meta_json, uint64_t** tile_ipix_list);",
aio_hiss_open_session,lib/astro_image_io/include/aio_healpix_io.h,"AIO_EXPORT void* aio_hiss_open_session(const char* path, uint32_t* nside, uint32_t* tile_nside, uint64_t* n_tiles);",
aio_hiss_query_pixel,lib/astro_image_io/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_query_pixel(const char* path, double ra, double dec, float* signal, uint8_t* support);",
aio_hiss_query_pixel_f64,lib/astro_image_io/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_query_pixel_f64(const char* path, double ra, double dec, double* signal, uint8_t* support);",
aio_hiss_read,lib/astro_image_io/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_read(const char* path, uint32_t* nside, int* nested, uint64_t* n_pix, uint64_t** ipix, float** pixel, float** snr, char** meta_json);",
aio_hiss_read_snr_model,lib/astro_image_io/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_read_snr_model(const char* path, uint32_t* nside, int* nested, uint64_t* n_pix, uint64_t** ipix, float** pixel, HioSnrModel** snr_model, char** meta_json);",
aio_hiss_read_tile_signal,lib/astro_image_io/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_read_tile_signal(const char* path, uint64_t parent_ipix, float** signal, uint32_t* n_signal);",
aio_hiss_read_tile_signal_f64,lib/astro_image_io/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_read_tile_signal_f64(const char* path, uint64_t parent_ipix, double** signal, uint32_t* n_signal);",
aio_hiss_read_tile_signal_f64_session,lib/astro_image_io/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_read_tile_signal_f64_session(void* session, uint64_t parent_ipix, double** signal, uint32_t* n_signal);",
aio_hiss_read_tile_signal_session,lib/astro_image_io/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_read_tile_signal_session(void* session, uint64_t parent_ipix, float** signal, uint32_t* n_signal);",
aio_hiss_read_tile_snr,lib/astro_image_io/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_read_tile_snr(const char* path, uint64_t parent_ipix, uint8_t** snr_out, uint32_t* n_points);",
aio_hiss_read_tile_snr_f64,lib/astro_image_io/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_read_tile_snr_f64(const char* path, uint64_t parent_ipix, uint8_t** snr_out, uint32_t* n_points);",
aio_hiss_read_tile_snr_f64_session,lib/astro_image_io/include/aio_healpix_io.h,"AIO_EXPORT int aio_hiss_read_tile_snr_f64_session(void* session, uint64_t parent_ipix, uint8_t** snr_out, uint32_t* n_points);",
